INDEX;ORT;RICHTUNG;BETRAG;MONAT
1;Bern;Eingang;19516;1
2;Zürich;Ausgang;44188;1
3;Basel;Eingang;47746;10
4;Lausanne;Ausgang;20918;5
5;Chur;Eingang;72450;11
6;Sion;Ausgang;42080;12
7;St. Gallen;Eingang;62647;5
8;Bern;Ausgang;11179;3
9;Zürich;Eingang;2767;12
10;Basel;Ausgang;53364;1
11;Lausanne;Eingang;58546;8
12;Chur;Ausgang;8732;7
13;Sion;Eingang;52550;10
14;St. Gallen;Ausgang;51780;5
15;Bern;Eingang;33949;7
16;Zürich;Ausgang;65178;10
17;Basel;Eingang;5957;1
18;Lausanne;Ausgang;7041;9
19;Chur;Eingang;69863;11
20;Sion;Ausgang;54935;8
21;St. Gallen;Eingang;14190;12
22;Bern;Ausgang;46787;11
23;Zürich;Eingang;70029;4
24;Basel;Ausgang;31129;8
25;Lausanne;Eingang;8911;2
26;Chur;Ausgang;28662;9
27;Sion;Eingang;17879;9
28;St. Gallen;Ausgang;65736;3
29;Bern;Eingang;61757;9
30;Zürich;Ausgang;67888;5
31;Basel;Eingang;17196;2
32;Lausanne;Ausgang;26202;8
33;Chur;Eingang;74457;5
34;Sion;Ausgang;12450;9
35;St. Gallen;Eingang;10548;12
36;Bern;Ausgang;18319;7
37;Zürich;Eingang;59730;3
38;Basel;Ausgang;37420;5
39;Lausanne;Eingang;40386;5
40;Chur;Ausgang;35093;7
41;Sion;Eingang;48374;12
42;St. Gallen;Ausgang;12135;5
43;Bern;Eingang;72992;11
44;Zürich;Ausgang;39809;12
45;Basel;Eingang;65047;4
46;Lausanne;Ausgang;27868;11
47;Chur;Eingang;53218;4
48;Sion;Ausgang;33798;4
49;St. Gallen;Eingang;15331;4
50;Bern;Ausgang;70035;9
51;Zürich;Eingang;23768;7
52;Basel;Ausgang;21400;4
53;Lausanne;Eingang;63661;7
54;Chur;Ausgang;52495;8
55;Sion;Eingang;31077;1
56;St. Gallen;Ausgang;53484;1
57;Bern;Eingang;24034;2
58;Zürich;Ausgang;59798;9
59;Basel;Eingang;41382;4
60;Lausanne;Ausgang;62132;6
61;Chur;Eingang;8425;5
62;Sion;Ausgang;18876;8
63;St. Gallen;Eingang;31739;10
64;Bern;Ausgang;25249;11
65;Zürich;Eingang;55285;8
66;Basel;Ausgang;7521;11
67;Lausanne;Eingang;42115;7
68;Chur;Ausgang;34969;4
69;Sion;Eingang;2360;11
70;St. Gallen;Ausgang;39388;3
71;Bern;Eingang;33258;10
72;Zürich;Ausgang;60754;2
73;Basel;Eingang;44712;10
74;Lausanne;Ausgang;39999;2
75;Chur;Eingang;41942;4
76;Sion;Ausgang;7774;10
77;St. Gallen;Eingang;56600;5
78;Bern;Ausgang;28338;9
79;Zürich;Eingang;32657;7
