Runde;EINS;ZWEI;DREI;VIER;FUENF;SECHS
1;0;0;1;0;2;1
2;0;1;2;0;0;1
3;0;0;0;1;1;2
4;0;0;0;2;1;1
5;1;0;0;0;3;0
6;1;1;0;1;1;0
7;0;0;2;1;0;1
8;0;0;0;1;1;2
9;1;0;0;0;1;2
10;0;0;1;1;2;0
11;0;1;0;0;2;1
12;1;0;1;1;0;1
13;0;0;0;3;0;1
14;0;0;0;1;1;2
15;0;0;0;0;2;2
16;0;0;1;1;2;0
17;0;0;0;1;1;2
18;0;0;0;2;0;2
19;0;1;0;3;0;0
20;1;0;0;1;0;2
21;0;0;0;1;2;1
22;0;1;1;0;2;0
23;0;0;0;1;3;0
24;0;0;0;1;2;1
25;1;0;0;1;1;1
26;0;0;0;0;1;3
27;0;0;0;1;0;3
28;0;2;0;0;2;0
29;1;0;0;1;1;1
30;0;0;1;0;2;1
31;0;0;0;2;1;1
32;0;0;1;0;2;1
33;0;0;0;1;1;2
34;0;0;0;1;1;2
35;0;0;0;1;2;1
36;0;0;0;2;0;2
37;0;0;2;0;1;1
38;0;0;0;1;1;2
39;0;0;0;1;2;1
40;1;1;0;0;0;2
41;0;1;0;1;2;0
42;0;0;1;1;1;1
43;1;0;0;1;1;1
44;0;0;0;1;1;2
45;0;0;1;0;2;1
46;0;0;1;2;0;1
47;0;0;1;0;1;2
48;0;0;1;1;1;1
49;0;0;0;3;1;0
50;0;1;1;0;0;2
51;0;1;1;1;0;1
52;0;0;0;1;3;0
53;0;1;0;1;2;0
54;0;0;0;2;1;1
55;0;0;1;0;1;2
56;0;0;1;2;1;0
57;0;1;1;1;1;0
58;1;0;1;0;1;1
59;0;1;0;1;1;1
60;0;0;0;0;2;2
61;0;1;0;1;1;1
62;0;0;1;1;2;0
63;1;0;1;0;0;2
64;0;1;1;1;0;1
65;0;1;0;0;3;0
66;0;0;0;0;2;2
67;0;0;1;1;1;1
68;0;0;1;0;0;3
69;0;0;0;1;1;2
70;0;0;0;2;1;1
71;0;0;0;2;2;0
72;0;0;0;0;3;1
73;0;0;0;1;3;0
